Sequential;0;0; 0.026758; 0.016352; 0.0; 0.010406;
MPIOnly;0;1; 0.035467; 0.022620; 0.008302; 0.012847;
MPI+OpenMP;1;1; 0.046864; 0.023179; 0.008534; 0.023685;
MPI+OpenMP;2;1; 0.038460; 0.023263; 0.008672; 0.015197;
MPI+OpenMP;3;1; 0.037119; 0.023581; 0.008973; 0.013537;
MPI+OpenMP;4;1; 0.037043; 0.024144; 0.009219; 0.012898;
MPIOnly;0;3; 0.043019; 0.014299; 0.018415; 0.010304;
MPI+OpenMP;1;3; 0.044077; 0.014543; 0.018939; 0.010594;
MPI+OpenMP;2;3; 0.055319; 0.015044; 0.018639; 0.021636;
MPI+OpenMP;3;3; 0.041338; 0.014694; 0.018618; 0.008025;
MPI+OpenMP;4;3; 0.044751; 0.015345; 0.019347; 0.010058;
MPIOnly;0;5; 0.052807; 0.013916; 0.030613; 0.008277;
MPI+OpenMP;1;5; 0.055377; 0.014658; 0.032625; 0.008093;
MPI+OpenMP;2;5; 0.063092; 0.014576; 0.029392; 0.019124;
MPI+OpenMP;3;5; 0.060297; 0.015186; 0.037976; 0.007135;
MPI+OpenMP;4;5; 0.067458; 0.015822; 0.037071; 0.014562;
MPIOnly;0;9; 0.084778; 0.024671; 0.053088; 0.007017;
MPI+OpenMP;1;9; 0.077741; 0.019500; 0.050952; 0.007289;
MPI+OpenMP;2;9; 0.083645; 0.015276; 0.061829; 0.006539;
MPI+OpenMP;3;9; 0.111104; 0.014704; 0.057860; 0.038539;
MPI+OpenMP;4;9; 0.270571; 0.024683; 0.073828; 0.172058;
Sequential;0;0; 0.028156; 0.016349; 0.0; 0.011807;
MPIOnly;0;1; 0.037958; 0.024198; 0.009575; 0.013760;
MPI+OpenMP;1;1; 0.047615; 0.025075; 0.009330; 0.022539;
MPI+OpenMP;2;1; 0.039963; 0.024235; 0.008992; 0.015728;
MPI+OpenMP;3;1; 0.038101; 0.023570; 0.008680; 0.014531;
