Sequential;0;0; 0.579887; 0.430978; 0.0; 0.148909;
MPIOnly;0;1; 0.693605; 0.457745; 0.008991; 0.235860;
MPI+OpenMP;1;1; 1.028499; 0.477441; 0.009607; 0.551058;
MPI+OpenMP;2;1; 0.861008; 0.456643; 0.009583; 0.404365;
MPI+OpenMP;3;1; 0.795231; 0.473706; 0.008750; 0.321524;
MPI+OpenMP;4;1; 0.776807; 0.474772; 0.008582; 0.302035;
MPIOnly;0;3; 0.808207; 0.575670; 0.081967; 0.150570;
MPI+OpenMP;1;3; 0.773501; 0.494470; 0.093475; 0.185556;
MPI+OpenMP;2;3; 0.931771; 0.705239; 0.078809; 0.147723;
MPI+OpenMP;3;3; 0.756275; 0.544728; 0.082943; 0.128603;
MPI+OpenMP;4;3; 0.711029; 0.503446; 0.070159; 0.137423;
MPIOnly;0;5; 0.701467; 0.512537; 0.118900; 0.070030;
MPI+OpenMP;1;5; 0.930791; 0.693045; 0.127779; 0.109965;
MPI+OpenMP;2;5; 0.784432; 0.577959; 0.105478; 0.100995;
MPI+OpenMP;3;5; 0.714725; 0.492399; 0.106586; 0.115738;
MPI+OpenMP;4;5; 0.974159; 0.713193; 0.105388; 0.155577;
MPIOnly;0;9; 0.891621; 0.668262; 0.142239; 0.081119;
MPI+OpenMP;1;9; 0.905641; 0.658783; 0.161456; 0.085401;
MPI+OpenMP;2;9; 0.941145; 0.666329; 0.176286; 0.098530;
MPI+OpenMP;3;9; 1.095612; 0.762671; 0.172570; 0.160370;
MPI+OpenMP;4;9; 1.319990; 0.664298; 0.180883; 0.474805;
Sequential;0;0; 0.623038; 0.472158; 0.0; 0.150880;
MPIOnly;0;1; 0.696400; 0.457845; 0.009977; 0.238555;
MPI+OpenMP;1;1; 1.064039; 0.505653; 0.009621; 0.558386;
MPI+OpenMP;2;1; 0.857134; 0.481494; 0.008430; 0.375639;
MPI+OpenMP;3;1; 0.754600; 0.441085; 0.008698; 0.313515;
MPI+OpenMP;4;1; 0.707217; 0.428371; 0.008697; 0.278846;
MPIOnly;0;3; 0.621413; 0.450571; 0.063745; 0.107096;
MPI+OpenMP;1;3; 0.684067; 0.445071; 0.066896; 0.172100;
MPI+OpenMP;2;3; 0.660661; 0.444283; 0.064362; 0.152016;
MPI+OpenMP;3;3; 0.650589; 0.445870; 0.068156; 0.136562;
MPI+OpenMP;4;3; 0.825199; 0.630697; 0.078013; 0.116489;
MPIOnly;0;5; 0.723620; 0.532825; 0.098299; 0.092495;
MPI+OpenMP;1;5; 0.682016; 0.489763; 0.090892; 0.101361;
MPI+OpenMP;2;5; 0.751678; 0.543794; 0.108456; 0.099427;
MPI+OpenMP;3;5; 0.739615; 0.545752; 0.102607; 0.091255;
MPI+OpenMP;4;5; 0.746915; 0.495232; 0.124267; 0.127412;
MPIOnly;0;9; 0.782251; 0.563772; 0.157956; 0.060520;
MPI+OpenMP;1;9; 0.890549; 0.662037; 0.147120; 0.081392;
MPI+OpenMP;2;9; 0.860040; 0.599669; 0.173017; 0.087352;
MPI+OpenMP;3;9; 0.938985; 0.597362; 0.266690; 0.074931;
MPI+OpenMP;4;9; 1.221496; 0.712304; 0.153095; 0.356095;
Sequential;0;0; 0.566820; 0.422035; 0.0; 0.144785;
MPIOnly;0;1; 0.682435; 0.452034; 0.008662; 0.230401;
MPI+OpenMP;1;1; 0.961947; 0.442767; 0.009096; 0.519180;
MPI+OpenMP;2;1; 0.819542; 0.453562; 0.009565; 0.365980;
MPI+OpenMP;3;1; 0.753929; 0.428193; 0.008643; 0.325736;
MPI+OpenMP;4;1; 0.708968; 0.427726; 0.008490; 0.281242;
MPIOnly;0;3; 0.629008; 0.460438; 0.063775; 0.104795;
MPI+OpenMP;1;3; 0.711650; 0.474542; 0.067132; 0.169975;
MPI+OpenMP;2;3; 0.727078; 0.523198; 0.063405; 0.140475;
MPI+OpenMP;3;3; 0.653834; 0.465619; 0.066196; 0.122019;
