Sequential;0;0; 8.379427; 3.205591; 0.0; 5.173836;
MPIOnly;0;1; 8.339987; 3.300995; 0.011430; 5.038992;
MPI+OpenMP;1;1; 12.453208; 3.629427; 0.010853; 8.823781;
MPI+OpenMP;2;1; 7.781562; 3.719337; 0.009685; 4.062225;
MPI+OpenMP;3;1; 6.430650; 3.701045; 0.008724; 2.729605;
MPI+OpenMP;4;1; 5.596725; 3.577936; 0.008855; 2.018789;
MPIOnly;0;3; 9.767513; 3.531824; 3.968576; 2.267111;
MPI+OpenMP;1;3; 6.566098; 3.712241; 0.536223; 2.317633;
MPI+OpenMP;2;3; 5.711704; 3.655178; 0.442399; 1.614126;
MPI+OpenMP;3;3; 5.959965; 3.776181; 1.170590; 1.013193;
MPI+OpenMP;4;3; 5.540300; 4.093405; 0.576293; 0.870601;
MPIOnly;0;5; 5.969812; 4.076664; 0.682730; 1.210418;
MPI+OpenMP;1;5; 6.307212; 4.618738; 0.563889; 1.124584;
MPI+OpenMP;2;5; 5.748093; 4.399890; 0.535481; 0.812721;
MPI+OpenMP;3;5; 7.033106; 4.411453; 1.966835; 0.654818;
MPI+OpenMP;4;5; 5.990099; 4.750000; 0.618357; 0.621740;
MPIOnly;0;9; 7.357785; 5.557484; 0.850246; 0.950054;
MPI+OpenMP;1;9; 7.594455; 5.798972; 0.972696; 0.822784;
MPI+OpenMP;2;9; 6.960148; 5.429496; 0.770294; 0.760358;
MPI+OpenMP;3;9; 6.858432; 5.406695; 0.768766; 0.682968;
MPI+OpenMP;4;9; 6.867069; 5.216435; 0.495872; 1.154760;
Sequential;0;0; 7.409067; 3.549291; 0.0; 3.859776;
MPIOnly;0;1; 8.801799; 3.704505; 0.010774; 5.097294;
MPI+OpenMP;1;1; 12.458337; 3.658663; 0.009043; 8.799674;
MPI+OpenMP;2;1; 7.672227; 3.634905; 0.009081; 4.037322;
MPI+OpenMP;3;1; 6.446937; 3.604176; 0.009160; 2.842761;
MPI+OpenMP;4;1; 6.178441; 3.613564; 0.008778; 2.564876;
MPIOnly;0;3; 6.342310; 3.468800; 0.690976; 2.182534;
MPI+OpenMP;1;3; 6.405125; 3.674842; 0.419264; 2.311017;
MPI+OpenMP;2;3; 5.455919; 3.791741; 0.517244; 1.146933;
MPI+OpenMP;3;3; 5.492578; 4.105079; 0.502299; 0.885199;
MPI+OpenMP;4;3; 6.356353; 4.946995; 0.562423; 0.846935;
MPIOnly;0;5; 7.058436; 5.154313; 0.629888; 1.274233;
MPI+OpenMP;1;5; 5.778578; 4.032528; 0.654739; 1.091310;
MPI+OpenMP;2;5; 5.897820; 4.493624; 0.721376; 0.682820;
MPI+OpenMP;3;5; 5.091922; 3.921847; 0.518697; 0.651378;
MPI+OpenMP;4;5; 5.285814; 4.030229; 0.535482; 0.720103;
MPIOnly;0;9; 7.057235; 5.465085; 0.889025; 0.703124;
MPI+OpenMP;1;9; 6.984885; 5.354648; 0.899996; 0.730237;
MPI+OpenMP;2;9; 7.220972; 5.820821; 0.655143; 0.745006;
