Sequential;0;0; 0.291156; 0.207702; 0.0; 0.083454;
MPIOnly;0;1; 0.344595; 0.223451; 0.009622; 0.121143;
MPI+OpenMP;1;1; 0.497001; 0.223003; 0.008807; 0.273998;
MPI+OpenMP;2;1; 0.425467; 0.219934; 0.008466; 0.205532;
MPI+OpenMP;3;1; 0.392245; 0.221558; 0.008782; 0.170686;
MPI+OpenMP;4;1; 0.390866; 0.229408; 0.008882; 0.161457;
MPIOnly;0;3; 0.326155; 0.218435; 0.043032; 0.064688;
MPI+OpenMP;1;3; 0.358340; 0.222227; 0.040625; 0.095488;
MPI+OpenMP;2;3; 0.341350; 0.216417; 0.041138; 0.083792;
MPI+OpenMP;3;3; 0.424637; 0.293617; 0.045781; 0.085238;
MPI+OpenMP;4;3; 0.341567; 0.216515; 0.043677; 0.081374;
MPIOnly;0;5; 0.340327; 0.234669; 0.061355; 0.044301;
MPI+OpenMP;1;5; 0.384204; 0.267081; 0.061832; 0.055289;
MPI+OpenMP;2;5; 0.356187; 0.232734; 0.061679; 0.061771;
MPI+OpenMP;3;5; 0.353183; 0.232981; 0.066669; 0.053533;
MPI+OpenMP;4;5; 0.407862; 0.235546; 0.070993; 0.101322;
MPIOnly;0;9; 0.501685; 0.340201; 0.108546; 0.052938;
MPI+OpenMP;1;9; 0.547287; 0.369442; 0.114550; 0.063293;
MPI+OpenMP;2;9; 0.562873; 0.379188; 0.133829; 0.049854;
MPI+OpenMP;3;9; 0.552594; 0.328862; 0.099908; 0.123823;
MPI+OpenMP;4;9; 0.594678; 0.293770; 0.107479; 0.193429;
Sequential;0;0; 0.289090; 0.210304; 0.0; 0.078786;
MPIOnly;0;1; 0.343540; 0.224084; 0.008862; 0.119456;
MPI+OpenMP;1;1; 0.507132; 0.235151; 0.009473; 0.271980;
MPI+OpenMP;2;1; 0.407957; 0.207901; 0.008788; 0.200056;
MPI+OpenMP;3;1; 0.398899; 0.222232; 0.009320; 0.176666;
MPI+OpenMP;4;1; 0.376198; 0.218746; 0.008538; 0.157452;
MPIOnly;0;3; 0.327294; 0.224608; 0.040814; 0.061872;
MPI+OpenMP;1;3; 0.348460; 0.218038; 0.040103; 0.090318;
MPI+OpenMP;2;3; 0.355938; 0.225816; 0.042388; 0.087734;
MPI+OpenMP;3;3; 0.344328; 0.224274; 0.044842; 0.075211;
MPI+OpenMP;4;3; 0.346961; 0.222298; 0.047005; 0.077656;
MPIOnly;0;5; 0.348253; 0.228338; 0.077883; 0.042029;
MPI+OpenMP;1;5; 0.478026; 0.337070; 0.083140; 0.057814;
MPI+OpenMP;2;5; 0.394355; 0.255666; 0.075549; 0.063139;
MPI+OpenMP;3;5; 0.366116; 0.248616; 0.063373; 0.054125;
MPI+OpenMP;4;5; 0.512513; 0.365640; 0.064397; 0.082475;
MPIOnly;0;9; 0.417291; 0.271279; 0.110814; 0.035193;
MPI+OpenMP;1;9; 0.448600; 0.297099; 0.101580; 0.049920;
MPI+OpenMP;2;9; 0.508522; 0.354938; 0.110562; 0.043020;
MPI+OpenMP;3;9; 0.522633; 0.330797; 0.103762; 0.088074;
MPI+OpenMP;4;9; 0.547792; 0.237826; 0.225577; 0.084387;
Sequential;0;0; 0.293119; 0.215157; 0.0; 0.077962;
MPIOnly;0;1; 0.341059; 0.220770; 0.008597; 0.120289;
MPI+OpenMP;1;1; 0.501519; 0.226985; 0.008829; 0.274534;
MPI+OpenMP;2;1; 0.413916; 0.218582; 0.008943; 0.195333;
MPI+OpenMP;3;1; 0.426919; 0.247886; 0.009110; 0.179033;
MPI+OpenMP;4;1; 0.373392; 0.219198; 0.008825; 0.154194;
MPIOnly;0;3; 0.317836; 0.213301; 0.041107; 0.063428;
MPI+OpenMP;1;3; 0.355571; 0.219610; 0.041293; 0.094668;
MPI+OpenMP;2;3; 0.471870; 0.322600; 0.054756; 0.094514;
MPI+OpenMP;3;3; 0.379639; 0.259273; 0.042166; 0.078200;
MPI+OpenMP;4;3; 0.347188; 0.214245; 0.045441; 0.087502;
MPIOnly;0;5; 0.344567; 0.242673; 0.059079; 0.042815;
MPI+OpenMP;1;5; 0.352801; 0.236973; 0.060774; 0.055054;
MPI+OpenMP;2;5; 0.356213; 0.237506; 0.068678; 0.050029;
MPI+OpenMP;3;5; 0.457947; 0.331805; 0.072600; 0.053538;
MPI+OpenMP;4;5; 0.405578; 0.247794; 0.065677; 0.092106;
MPIOnly;0;9; 0.479527; 0.342625; 0.100088; 0.036814;
MPI+OpenMP;1;9; 0.446851; 0.288463; 0.104022; 0.054364;
MPI+OpenMP;2;9; 0.487482; 0.329529; 0.115048; 0.042904;
MPI+OpenMP;3;9; 0.543505; 0.328244; 0.118068; 0.097192;
MPI+OpenMP;4;9; 0.577151; 0.294356; 0.123257; 0.159534;
Sequential;0;0; 0.294093; 0.215183; 0.0; 0.078910;
MPIOnly;0;1; 0.340237; 0.225477; 0.008655; 0.114760;
MPI+OpenMP;1;1; 0.488672; 0.210382; 0.008746; 0.278290;
MPI+OpenMP;2;1; 0.429177; 0.228826; 0.009301; 0.200351;
MPI+OpenMP;3;1; 0.381120; 0.214110; 0.008569; 0.167010;
MPI+OpenMP;4;1; 0.375440; 0.221687; 0.008990; 0.153753;
MPIOnly;0;3; 0.335102; 0.230560; 0.040343; 0.064199;
MPI+OpenMP;1;3; 0.349843; 0.214736; 0.040798; 0.094308;
MPI+OpenMP;2;3; 0.340021; 0.215110; 0.040109; 0.084802;
MPI+OpenMP;3;3; 0.334688; 0.220981; 0.040190; 0.073517;
MPI+OpenMP;4;3; 0.341179; 0.217819; 0.043320; 0.080040;
MPIOnly;0;5; 0.369923; 0.261022; 0.066921; 0.041979;
MPI+OpenMP;1;5; 0.351491; 0.235198; 0.060195; 0.056095;
MPI+OpenMP;2;5; 0.348729; 0.222409; 0.067215; 0.059105;
MPI+OpenMP;3;5; 0.358439; 0.238343; 0.063525; 0.056571;
MPI+OpenMP;4;5; 0.429195; 0.279302; 0.067211; 0.082682;
MPIOnly;0;9; 0.444992; 0.298437; 0.097489; 0.049063;
MPI+OpenMP;1;9; 0.511851; 0.356259; 0.103847; 0.051744;
MPI+OpenMP;2;9; 0.429466; 0.266780; 0.117671; 0.045015;
MPI+OpenMP;3;9; 0.515984; 0.293665; 0.145310; 0.077006;
MPI+OpenMP;4;9; 0.531171; 0.269473; 0.153790; 0.107904;
Sequential;0;0; 0.300632; 0.221638; 0.0; 0.078994;
MPIOnly;0;1; 0.318357; 0.203637; 0.009544; 0.114720;
MPI+OpenMP;1;1; 0.481028; 0.208646; 0.008885; 0.272382;
MPI+OpenMP;2;1; 0.443354; 0.231318; 0.009272; 0.212036;
MPI+OpenMP;3;1; 0.375143; 0.213173; 0.008816; 0.161970;
MPI+OpenMP;4;1; 0.382075; 0.218223; 0.008347; 0.163852;
MPIOnly;0;3; 0.334894; 0.229949; 0.040929; 0.064016;
MPI+OpenMP;1;3; 0.343062; 0.212421; 0.040358; 0.090282;
MPI+OpenMP;2;3; 0.350196; 0.222082; 0.043567; 0.084547;
MPI+OpenMP;3;3; 0.340992; 0.227573; 0.040730; 0.072688;
MPI+OpenMP;4;3; 0.348254; 0.221866; 0.042462; 0.083924;
MPIOnly;0;5; 0.420381; 0.307374; 0.071412; 0.041593;
MPI+OpenMP;1;5; 0.358464; 0.236693; 0.062643; 0.059126;
MPI+OpenMP;2;5; 0.445171; 0.333315; 0.060666; 0.051190;
MPI+OpenMP;3;5; 0.352865; 0.231731; 0.066483; 0.054649;
MPI+OpenMP;4;5; 0.377128; 0.230180; 0.086117; 0.060830;
MPIOnly;0;9; 0.482403; 0.345001; 0.103928; 0.033472;
MPI+OpenMP;1;9; 0.459962; 0.302456; 0.104064; 0.053441;
MPI+OpenMP;2;9; 0.438308; 0.273247; 0.120867; 0.044193;
MPI+OpenMP;3;9; 0.600217; 0.382123; 0.117918; 0.100173;
MPI+OpenMP;4;9; 0.607740; 0.330855; 0.172724; 0.104158;
Sequential;0;0; 0.302118; 0.219644; 0.0; 0.082474;
MPIOnly;0;1; 0.347287; 0.227687; 0.008635; 0.119600;
MPI+OpenMP;1;1; 0.487591; 0.219136; 0.008902; 0.268455;
MPI+OpenMP;2;1; 0.423687; 0.221751; 0.008293; 0.201936;
MPI+OpenMP;3;1; 0.401447; 0.226332; 0.009594; 0.175115;
MPI+OpenMP;4;1; 0.350339; 0.206489; 0.008412; 0.143850;
MPIOnly;0;3; 0.330192; 0.223256; 0.042307; 0.064628;
MPI+OpenMP;1;3; 0.341059; 0.207081; 0.041568; 0.092409;
MPI+OpenMP;2;3; 0.337107; 0.214235; 0.040084; 0.082787;
MPI+OpenMP;3;3; 0.332353; 0.220012; 0.041019; 0.071321;
MPI+OpenMP;4;3; 0.442150; 0.316647; 0.044215; 0.081287;
MPIOnly;0;5; 0.333267; 0.232773; 0.059228; 0.041265;
MPI+OpenMP;1;5; 0.381787; 0.259937; 0.063781; 0.058067;
MPI+OpenMP;2;5; 0.358372; 0.235052; 0.063714; 0.059605;
MPI+OpenMP;3;5; 0.452452; 0.332423; 0.069654; 0.050375;
MPI+OpenMP;4;5; 0.481746; 0.323767; 0.091881; 0.066098;
MPIOnly;0;9; 0.454842; 0.322246; 0.096679; 0.035913;
MPI+OpenMP;1;9; 0.457930; 0.310233; 0.104255; 0.043440;
MPI+OpenMP;2;9; 0.498397; 0.338633; 0.116646; 0.043117;
MPI+OpenMP;3;9; 0.526643; 0.322595; 0.099836; 0.104211;
MPI+OpenMP;4;9; 0.603900; 0.338373; 0.127241; 0.138284;
Sequential;0;0; 0.294169; 0.207162; 0.0; 0.087007;
MPIOnly;0;1; 0.338536; 0.219934; 0.009133; 0.118602;
MPI+OpenMP;1;1; 0.489277; 0.221791; 0.008428; 0.267486;
MPI+OpenMP;2;1; 0.420961; 0.222418; 0.008899; 0.198543;
MPI+OpenMP;3;1; 0.390816; 0.221740; 0.008832; 0.169076;
MPI+OpenMP;4;1; 0.365344; 0.217303; 0.008382; 0.148041;
MPIOnly;0;3; 0.324417; 0.222388; 0.039411; 0.062618;
MPI+OpenMP;1;3; 0.377157; 0.233416; 0.043706; 0.100035;
MPI+OpenMP;2;3; 0.345755; 0.221793; 0.039986; 0.083975;
MPI+OpenMP;3;3; 0.361055; 0.234313; 0.054006; 0.072734;
MPI+OpenMP;4;3; 0.343458; 0.215078; 0.046021; 0.082358;
MPIOnly;0;5; 0.332356; 0.228494; 0.063052; 0.040809;
MPI+OpenMP;1;5; 0.405749; 0.287108; 0.062205; 0.056433;
