Sequential;0;0; 0.873591; 0.504917; 0.0; 0.368674;
MPIOnly;0;1; 1.004788; 0.452848; 0.008797; 0.551940;
MPI+OpenMP;1;1; 2.132371; 0.465689; 0.008828; 1.666682;
MPI+OpenMP;2;1; 1.350736; 0.464334; 0.009214; 0.886402;
MPI+OpenMP;3;1; 1.031283; 0.466828; 0.009371; 0.564455;
MPI+OpenMP;4;1; 0.918467; 0.467456; 0.009679; 0.451011;
MPIOnly;0;3; 0.924179; 0.489793; 0.140752; 0.293633;
MPI+OpenMP;1;3; 1.104093; 0.573945; 0.147646; 0.382501;
MPI+OpenMP;2;3; 0.869939; 0.481774; 0.188487; 0.199678;
MPI+OpenMP;3;3; 0.857557; 0.527860; 0.185579; 0.144118;
MPI+OpenMP;4;3; 0.811237; 0.482959; 0.170827; 0.157451;
MPIOnly;0;5; 0.776348; 0.481464; 0.137390; 0.157493;
MPI+OpenMP;1;5; 0.842957; 0.497531; 0.162501; 0.182924;
MPI+OpenMP;2;5; 0.779176; 0.518500; 0.134513; 0.126162;
MPI+OpenMP;3;5; 0.843556; 0.590837; 0.160340; 0.092379;
MPI+OpenMP;4;5; 0.809078; 0.512367; 0.204501; 0.092208;
MPIOnly;0;9; 1.167278; 0.861892; 0.185319; 0.120067;
MPI+OpenMP;1;9; 1.136816; 0.838301; 0.196057; 0.102457;
MPI+OpenMP;2;9; 1.221028; 0.905380; 0.194151; 0.121496;
MPI+OpenMP;3;9; 1.104210; 0.808171; 0.183702; 0.112336;
MPI+OpenMP;4;9; 1.286301; 0.802299; 0.340324; 0.143677;
Sequential;0;0; 0.815361; 0.452909; 0.0; 0.362452;
MPIOnly;0;1; 1.051036; 0.490765; 0.009002; 0.560271;
MPI+OpenMP;1;1; 2.113486; 0.472764; 0.009158; 1.640722;
MPI+OpenMP;2;1; 1.334136; 0.461620; 0.009606; 0.872516;
MPI+OpenMP;3;1; 1.058840; 0.467274; 0.009106; 0.591566;
MPI+OpenMP;4;1; 0.932350; 0.478560; 0.008974; 0.453790;
MPIOnly;0;3; 0.931353; 0.468215; 0.180993; 0.282144;
MPI+OpenMP;1;3; 1.046980; 0.490831; 0.185076; 0.371073;
MPI+OpenMP;2;3; 0.823310; 0.470446; 0.121279; 0.231583;
MPI+OpenMP;3;3; 0.845602; 0.518095; 0.189736; 0.137771;
MPI+OpenMP;4;3; 0.759487; 0.508341; 0.138941; 0.112205;
MPIOnly;0;5; 0.771858; 0.470749; 0.149531; 0.151578;
MPI+OpenMP;1;5; 0.841568; 0.507714; 0.160234; 0.173619;
MPI+OpenMP;2;5; 0.975206; 0.700500; 0.172530; 0.102174;
MPI+OpenMP;3;5; 0.801845; 0.514906; 0.188705; 0.098233;
MPI+OpenMP;4;5; 0.822193; 0.558902; 0.170529; 0.092760;
MPIOnly;0;9; 1.055382; 0.721072; 0.234580; 0.099729;
MPI+OpenMP;1;9; 1.157281; 0.860161; 0.178745; 0.118372;
MPI+OpenMP;2;9; 1.069841; 0.745836; 0.193694; 0.130311;
MPI+OpenMP;3;9; 1.046858; 0.760720; 0.172243; 0.113895;
MPI+OpenMP;4;9; 1.242074; 0.814633; 0.214075; 0.213364;
Sequential;0;0; 0.841577; 0.476860; 0.0; 0.364717;
MPIOnly;0;1; 1.043174; 0.483523; 0.008935; 0.559651;
MPI+OpenMP;1;1; 2.132919; 0.473440; 0.008803; 1.659479;
MPI+OpenMP;2;1; 1.343230; 0.461398; 0.009034; 0.881831;
MPI+OpenMP;3;1; 1.035652; 0.462624; 0.009012; 0.573028;
MPI+OpenMP;4;1; 0.914482; 0.464860; 0.008815; 0.449622;
MPIOnly;0;3; 0.874127; 0.450780; 0.145172; 0.278175;
MPI+OpenMP;1;3; 1.046230; 0.499171; 0.157450; 0.389609;
MPI+OpenMP;2;3; 1.092092; 0.648801; 0.234735; 0.208555;
MPI+OpenMP;3;3; 0.857056; 0.485255; 0.188460; 0.183338;
MPI+OpenMP;4;3; 0.807232; 0.515560; 0.145009; 0.146663;
MPIOnly;0;5; 0.888628; 0.527220; 0.202184; 0.159221;
MPI+OpenMP;1;5; 0.873381; 0.475369; 0.212916; 0.185096;
MPI+OpenMP;2;5; 1.102594; 0.770976; 0.207217; 0.124400;
MPI+OpenMP;3;5; 0.825649; 0.505393; 0.193407; 0.126847;
MPI+OpenMP;4;5; 0.774237; 0.508635; 0.188603; 0.076999;
MPIOnly;0;9; 1.425156; 0.923313; 0.387019; 0.114824;
MPI+OpenMP;1;9; 1.446962; 0.972632; 0.334848; 0.139481;
MPI+OpenMP;2;9; 1.118268; 0.837278; 0.197878; 0.083110;
MPI+OpenMP;3;9; 0.974417; 0.620056; 0.196545; 0.157813;
MPI+OpenMP;4;9; 1.164218; 0.839566; 0.175704; 0.148948;
Sequential;0;0; 0.781419; 0.438125; 0.0; 0.343294;
MPIOnly;0;1; 0.962443; 0.442141; 0.008755; 0.520301;
