Sequential;0;0; 0.275378; 0.204538; 0.0; 0.070840;
MPIOnly;0;1; 0.329003; 0.202721; 0.008643; 0.126282;
MPI+OpenMP;1;1; 0.504683; 0.212914; 0.009807; 0.291769;
MPI+OpenMP;2;1; 0.423670; 0.205423; 0.008925; 0.218247;
MPI+OpenMP;3;1; 0.395965; 0.216608; 0.008321; 0.179357;
MPI+OpenMP;4;1; 0.365075; 0.203601; 0.008642; 0.161473;
MPIOnly;0;3; 0.344286; 0.218467; 0.043835; 0.081983;
MPI+OpenMP;1;3; 0.355209; 0.204875; 0.044648; 0.105686;
MPI+OpenMP;2;3; 0.371493; 0.213751; 0.045443; 0.112298;
MPI+OpenMP;3;3; 0.372719; 0.224892; 0.053391; 0.094435;
MPI+OpenMP;4;3; 0.359120; 0.215857; 0.044279; 0.098984;
MPIOnly;0;5; 0.349508; 0.232743; 0.062301; 0.054464;
MPI+OpenMP;1;5; 0.469443; 0.322010; 0.083685; 0.063747;
MPI+OpenMP;2;5; 0.368796; 0.222816; 0.074686; 0.071291;
MPI+OpenMP;3;5; 0.387662; 0.245827; 0.072131; 0.069702;
MPI+OpenMP;4;5; 0.381234; 0.219436; 0.065515; 0.096282;
MPIOnly;0;9; 0.443073; 0.275322; 0.103670; 0.064080;
MPI+OpenMP;1;9; 0.414558; 0.236222; 0.106571; 0.071763;
MPI+OpenMP;2;9; 0.536032; 0.358922; 0.101058; 0.076051;
MPI+OpenMP;3;9; 0.602410; 0.357775; 0.150610; 0.094024;
MPI+OpenMP;4;9; 0.617166; 0.338543; 0.114094; 0.164528;
Sequential;0;0; 0.276505; 0.203976; 0.0; 0.072529;
MPIOnly;0;1; 0.321321; 0.204143; 0.008927; 0.117178;
MPI+OpenMP;1;1; 0.492609; 0.207197; 0.008727; 0.285412;
MPI+OpenMP;2;1; 0.424561; 0.219132; 0.009700; 0.205428;
MPI+OpenMP;3;1; 0.381946; 0.205837; 0.009189; 0.176109;
MPI+OpenMP;4;1; 0.365693; 0.201483; 0.008790; 0.164210;
MPIOnly;0;3; 0.352061; 0.222970; 0.047777; 0.081314;
MPI+OpenMP;1;3; 0.359467; 0.211694; 0.042826; 0.104947;
MPI+OpenMP;2;3; 0.360428; 0.203519; 0.044169; 0.112740;
MPI+OpenMP;3;3; 0.363649; 0.219344; 0.047679; 0.096625;
MPI+OpenMP;4;3; 0.341994; 0.217714; 0.041722; 0.082556;
MPIOnly;0;5; 0.348036; 0.223331; 0.063161; 0.061544;
MPI+OpenMP;1;5; 0.371327; 0.228099; 0.068965; 0.074262;
MPI+OpenMP;2;5; 0.336425; 0.206189; 0.068591; 0.061643;
MPI+OpenMP;3;5; 0.368762; 0.236562; 0.064232; 0.067967;
MPI+OpenMP;4;5; 0.365816; 0.223230; 0.060974; 0.081611;
MPIOnly;0;9; 0.419425; 0.267092; 0.093518; 0.058812;
MPI+OpenMP;1;9; 0.451947; 0.271796; 0.106394; 0.073750;
MPI+OpenMP;2;9; 0.499038; 0.312470; 0.123912; 0.062654;
MPI+OpenMP;3;9; 0.542173; 0.329742; 0.112183; 0.100248;
MPI+OpenMP;4;9; 0.651790; 0.336499; 0.116610; 0.198679;
Sequential;0;0; 0.276853; 0.204559; 0.0; 0.072294;
MPIOnly;0;1; 0.324100; 0.205540; 0.008587; 0.118560;
MPI+OpenMP;1;1; 0.479487; 0.208741; 0.008755; 0.270746;
MPI+OpenMP;2;1; 0.428454; 0.207510; 0.008476; 0.220944;
MPI+OpenMP;3;1; 0.394762; 0.214012; 0.009817; 0.180750;
MPI+OpenMP;4;1; 0.366992; 0.208253; 0.008468; 0.158739;
MPIOnly;0;3; 0.327767; 0.201545; 0.042425; 0.083713;
MPI+OpenMP;1;3; 0.389989; 0.230590; 0.048178; 0.111220;
MPI+OpenMP;2;3; 0.352667; 0.211783; 0.043506; 0.097377;
MPI+OpenMP;3;3; 0.366826; 0.213385; 0.047042; 0.106399;
MPI+OpenMP;4;3; 0.340129; 0.205504; 0.044836; 0.089787;
MPIOnly;0;5; 0.334731; 0.219787; 0.063230; 0.051713;
MPI+OpenMP;1;5; 0.452055; 0.297703; 0.072661; 0.081690;
MPI+OpenMP;2;5; 0.347661; 0.220114; 0.062346; 0.065199;
MPI+OpenMP;3;5; 0.353893; 0.220787; 0.066241; 0.066864;
MPI+OpenMP;4;5; 0.408084; 0.240797; 0.069931; 0.097356;
MPIOnly;0;9; 0.387901; 0.230957; 0.098699; 0.058244;
MPI+OpenMP;1;9; 0.433803; 0.267067; 0.102078; 0.064657;
MPI+OpenMP;2;9; 0.536020; 0.355291; 0.121949; 0.058778;
MPI+OpenMP;3;9; 0.493684; 0.259379; 0.164342; 0.069962;
